   Compiling velnor-workflow v0.1.0 (/private/tmp/velnor-ci-integration/crates/velnor-workflow)
    Finished `test` profile [unoptimized + debuginfo] target(s) in 18.15s
────────────
 Nextest run ID 75ecab8b-5874-42d2-bc13-380e1cb63b2e with nextest profile: default
    Starting 2003 tests across 21 binaries
        PASS [   0.033s] (  60/2003) velnor-workflow closure::tests::dev_features_pin_the_candidate_build
        PASS [   0.041s] (  61/2003) velnor-workflow closure::tests::crate_inputs_stay_closure_complete
        PASS [   0.017s] (  62/2003) velnor-workflow closure::tests::product_tag_carries_a_digest_locator
        PASS [   0.996s] (  63/2003) velnor-workflow apt::tests::stable_verify_rejects_manifest_and_oci_incoherence
        PASS [   0.042s] (  64/2003) velnor-workflow closure::tests::stamped_features_match_dev_features
        PASS [   0.699s] (  65/2003) velnor-workflow apt::tests::stable_verify_resolves_the_tag_commit_through_a_git_stub
        PASS [   0.055s] (  66/2003) velnor-workflow config::mise_closure::tests::binds_lock_backend_options_and_platform_artifact
        PASS [   0.057s] (  67/2003) velnor-workflow config::mise_closure::tests::concrete_task_name_wins_alias_collision
        PASS [   0.032s] (  68/2003) velnor-workflow config::mise_closure::tests::expands_optional_wildcard_task_references
        PASS [   0.054s] (  69/2003) velnor-workflow config::mise_closure::tests::emitted_install_args_are_bare_committed_lock_keys
        PASS [   0.030s] (  70/2003) velnor-workflow config::mise_closure::tests::keeps_before_and_after_invocations_distinct
        PASS [   0.027s] (  71/2003) velnor-workflow config::mise_closure::tests::known_runner_labels_bind_lock_platform_and_unknown_labels_need_facts
        PASS [   0.035s] (  72/2003) velnor-workflow config::mise_closure::tests::leaves_opaque_shell_tools_out_of_the_typed_closure
        PASS [   0.031s] (  73/2003) velnor-workflow config::mise_closure::tests::preserves_structured_task_arguments_and_environment
        PASS [   0.029s] (  74/2003) velnor-workflow config::mise_closure::tests::preserves_wait_for_as_validation_only
        PASS [   0.037s] (  75/2003) velnor-workflow config::mise_closure::tests::reads_plain_rust_toolchain_channel
        PASS [   0.035s] (  76/2003) velnor-workflow config::mise_closure::tests::rejects_lock_platform_or_backend_mismatch
        PASS [   0.031s] (  77/2003) velnor-workflow config::mise_closure::tests::rejects_rust_toolchain_options_until_typed_rustup_provisioning
        PASS [   0.033s] (  78/2003) velnor-workflow config::mise_closure::tests::rejects_task_local_backend_without_root_installer_identity
        PASS [   0.049s] (  79/2003) velnor-workflow config::mise_closure::tests::rejects_malformed_lock_identity_fields
        PASS [   0.036s] (  80/2003) velnor-workflow config::mise_closure::tests::rejects_unknown_direct_platform
        PASS [   0.039s] (  81/2003) velnor-workflow config::mise_closure::tests::rejects_task_local_selector_until_exact_installer_contract_exists
        PASS [   1.020s] (  82/2003) velnor-workflow apt::tests::stable_verify_rejects_tampered_and_missing_inputs
        PASS [   0.042s] (  83/2003) velnor-workflow config::mise_closure::tests::rejects_unlocked_transitive_tool
        PASS [   0.042s] (  84/2003) velnor-workflow config::mise_closure::tests::resolves_single_structured_run_task_and_its_tools
        PASS [   0.027s] (  85/2003) velnor-workflow config::mise_closure::tests::resolves_typed_dependencies_and_scoped_tools_without_shell_parsing
        PASS [   0.026s] (  86/2003) velnor-workflow config::mise_closure::tests::resolves_versioned_tool_dependency_without_shell_splitting
        PASS [   0.029s] (  87/2003) velnor-workflow config::mise_closure::tests::runner_platform_mapping_is_host_independent
        PASS [   0.031s] (  88/2003) velnor-workflow config::mise_closure::tests::typed_rust_boundary_is_stage_scoped
        PASS [   0.032s] (  89/2003) velnor-workflow config::mise_closure::tests::typed_rust_boundary_preserves_pin_and_excludes_rust_from_mise_install
        PASS [   0.031s] (  90/2003) velnor-workflow config::mise_closure::tests::typed_rust_boundary_rejects_task_selector_drift
        PASS [   0.026s] (  91/2003) velnor-workflow config::mise_closure::tests::typed_rust_boundary_requires_core_rust_lock_backend
        PASS [   0.036s] (  92/2003) velnor-workflow config::mise_closure::tests::typed_rust_boundary_rejects_lock_version_drift
        PASS [   0.031s] (  93/2003) velnor-workflow config::tests::absent_config_digests_the_empty_canonical_form
        PASS [   0.028s] (  94/2003) velnor-workflow config::tests::cache_sections_parse_and_stay_generator_only
        PASS [   0.028s] (  95/2003) velnor-workflow config::tests::canonical_form_preserves_declarations_and_sorts_table_keys
        PASS [   0.026s] (  96/2003) velnor-workflow config::tests::check_profile_rejects_bad_identity_cadence_and_contract
